case,family,background,source_id,direction,method,smc_survived,found_cf,terminal_tv,ess_fraction,normalizer_relative_estimate,unique_cf,seconds,best_base_edit_regret,endpoint_mean_meets_gain,endpoint_all_replicates_positive,endpoint_all_replicates_meet_gain,endpoint_base_edits
09ae76e52a12c60b,"AHR,HNF1A,NR2F2",2,seq_176382,-1,rollout,1.0,1.0,0.1940077300439139,0.8095887732787724,1.0442051352366004,4.75,0.0004953869999866356,0.0,0.9027229756698676,0.056003061278551966,0.056003061278551966,17.496103542106432
09ae76e52a12c60b,"AHR,HNF1A,NR2F2",2,seq_176382,-1,learned,1.0,1.0,0.17314376352130223,0.9507585451204481,1.0113623502356013,5.0,0.002227577000056158,0.0,0.8967107981418649,0.029752807061461245,0.029752807061461245,17.22964930022732
09ae76e52a12c60b,"AHR,HNF1A,NR2F2",2,seq_176382,-1,exact,1.0,1.0,0.1534309435572881,1.0,1.0000000000000004,5.1875,0.00025962006255042525,0.0,0.91796875,0.06640625,0.06640625,17.03125
09ae76e52a12c60b,"AHR,HNF1A,NR2F2",2,seq_176382,-1,defensive_rollout,1.0,1.0,0.1549308852258156,0.879423956642943,1.0060127565849002,5.5,0.0005399668749959119,0.0,0.9015799987969964,0.039291064567646986,0.039291064567646986,16.59357056696308
0a46fd8238b62dfa,"REST,SP1,XBP1",2,seq_206512,-1,reference,1.0,1.0,0.1405108916699639,0.38172788810858554,1.0453589153643281,2.0,0.0002380323124810957,0.0,0.23627040375603658,0.23627040375603658,0.23627040375603658,14.890163230048291
0a46fd8238b62dfa,"REST,SP1,XBP1",2,seq_206512,-1,myopic,1.0,1.0,0.18252824373542748,0.2550021783909311,1.197144886816925,1.875,0.000248119874967756,0.0,0.20881450472558521,0.20881450472558521,0.20881450472558521,14.670516037804681
0a46fd8238b62dfa,"REST,SP1,XBP1",2,seq_206512,-1,rollout,1.0,1.0,0.12152070485735869,0.788128629221869,0.8275790547804616,2.0,0.0004883123749976903,0.0,0.2638872527586156,0.2638872527586156,0.2638872527586156,15.111098022068925
0a46fd8238b62dfa,"REST,SP1,XBP1",2,seq_206512,-1,learned,1.0,1.0,0.09453063707097574,0.9164459023106492,0.9849336971944117,2.0,0.002199258812495941,0.0,0.2919135504209958,0.2919135504209958,0.2919135504209958,15.335308403367966
0a46fd8238b62dfa,"REST,SP1,XBP1",2,seq_206512,-1,exact,1.0,1.0,0.09455782316049922,1.0,1.0000000000000002,2.0,0.0002630091249642419,0.0,0.234375,0.234375,0.234375,14.875
0a46fd8238b62dfa,"REST,SP1,XBP1",2,seq_206512,-1,defensive_rollout,1.0,1.0,0.12239765032065313,0.692612773857628,0.9941896975360411,2.0,0.0005166486249947866,0.0,0.23248109901794722,0.23248109901794722,0.23248109901794722,14.859848792143577
0aa8f64f48129d4a,"AHR,CTCF,HNF4A",2,seq_154702,-1,reference,1.0,1.0,0.21017624054313294,0.6171595255595541,0.9864064368010546,4.6875,0.0002461387500289902,0.0,1.0,0.31776368247777687,0.1673346690946094,17.18490730942721
0aa8f64f48129d4a,"AHR,CTCF,HNF4A",2,seq_154702,-1,myopic,1.0,1.0,0.33756083645057755,0.2956401001719937,1.0140336053359504,3.6875,0.0002470450000373603,0.0,1.0,0.25489346699001403,0.05472301463514362,16.463302029152146
